1,"Mama, There Goes That Man",,0.5083,0.7772,48,282,197,64,38,103,877,,55,3
2,West Wing Sanchise,,0.4723,0.7312,44,309,198,53,48,98,726,,55,6
3,Team Schaeffer,,0.4514,0.7667,41,304,220,57,44,116,806,,53,0
4,HuntingtonBeach Pigeons,,0.4224,0.7828,53,311,142,54,46,119,750,,49,1
5,Dead Last Bricks,,0.4396,0.7173,39,331,198,65,45,122,766,,58,1
6,OC GPC,,0.4377,0.741,32,298,115,60,39,102,724,,50,3
7,Team Rome,,0.4905,0.7234,51,258,170,49,24,106,653,,46,0
8,Please Qualify 2,,0.4558,0.7273,28,238,114,48,40,88,524,,41,0
9,Team PPL,,0.418,0.8154,28,264,180,35,19,105,671,,47,1
10,*** Skillz***,,0.4379,0.7166,46,231,125,47,23,110,688,,46,5
