1,"Mama, There Goes That Man",,0.5037,0.7719,38,240,165,58,32,87,720,,47,3
2,West Wing Sanchise,,0.4707,0.725,38,275,179,47,42,85,620,,47,5
3,Team Schaeffer,,0.4615,0.7598,34,271,180,46,39,104,698,,46,0
4,Dead Last Bricks,,0.4404,0.7151,34,296,174,55,41,110,667,,50,1
5,HuntingtonBeach Pigeons,,0.4178,0.7926,41,270,116,44,39,98,635,,43,0
6,Team Rome,,0.4965,0.7278,47,231,138,47,22,89,594,,40,0
7,OC GPC,,0.4239,0.7418,28,262,106,51,37,87,626,,45,3
8,Team PPL,,0.4167,0.8197,27,238,165,32,18,103,627,,43,0
9,*** Skillz***,,0.4345,0.7195,38,226,110,43,21,101,634,,43,5
10,Please Qualify 2,,0.4435,0.7222,21,198,94,40,31,76,434,,35,0
