"Ray Allen, Bos SG",HHS,0.486,0.905,121,211,166,58,13,96,1064
"Chauncey Billups, LAC PG",ROME,0.423,0.917,105,146,335,54,11,124,876
"Elton Brand, Phi PF",HHS,0.497,0.766,0,488,85,67,73,85,876
"Kobe Bryant, LAL SG",PPL,0.455,0.828,86,320,294,83,13,186,1600
"Tim Duncan, SA PF, C",QNGUY,0.507,0.711,1,531,165,37,98,98,858
"Kevin Garnett, Bos PF",ROME,0.527,0.853,1,442,130,57,42,78,764
"Manu Ginobili, SA SG",ROME,0.436,0.875,109,224,283,89,18,124,1011
"Stephen Jackson, Mil SG, SF  DTD",NGUY,0.419,0.807,93,291,217,80,17,182,1049
"Antawn Jamison, Cle PF",ROME,0.444,0.734,75,385,72,55,22,83,1023
"Jason Kidd, Dal PG",ROME,0.388,0.839,106,291,502,105,25,136,514
"Steve Nash, Pho PG",HBP,0.496,0.918,73,195,647,37,6,207,895
"Dirk Nowitzki, Dal PF",GPC,0.5,0.899,50,454,158,38,44,113,1471
"Lamar Odom, Dal PF",ROME,0.51,0.669,44,527,182,46,46,104,767
"Paul Pierce, Bos SF, SG  DTD",NGUY,0.488,0.853,84,307,183,59,24,130,1083
"Jason Terry, Dal SG  DTD",QNGUY,0.451,0.86,107,122,250,77,13,115,1051
"Tyson Chandler, NY C",GPC,0.631,0.719,0,637,30,30,77,94,649
"Pau Gasol, LAL PF, C",QNGUY,0.538,0.808,0,618,198,36,90,114,1115
"Joe Johnson, Atl SG, SF",HHS,0.443,0.812,102,260,304,62,12,124,1167
"Tony Parker, SA PG",PPL,0.511,0.769,15,168,371,58,6,151,1028
"Zach Randolph, Mem PF",ROME,0.496,0.76,10,696,124,53,24,124,1196
"Jason Richardson, Orl SG",Sklz,0.458,0.746,136,275,115,64,13,77,980
"Gerald Wallace, Por SF, PF",SCHA,0.465,0.765,43,481,133,87,52,122,932
"Carlos Boozer, Chi PF",SANC,0.529,0.721,0,468,114,36,16,120,850
"Nene, Den C",Sklz,0.606,0.714,2,477,124,74,62,105,894
"Amare Stoudemire, NY C, PF",NGUY,0.524,0.801,6,527,143,52,137,176,1665
"Luis Scola, Hou PF",PPL,0.509,0.753,0,521,136,43,31,118,1046
"LeBron James, Mia SF",HHS,0.517,0.766,79,493,467,102,51,224,1748
"Carmelo Anthony, NY SF",HBP,0.459,0.83,88,409,195,67,31,159,1587
"Chris Bosh, Mia PF, C",SCHA,0.499,0.822,6,539,130,50,43,118,1214
"Chris Kaman, Nor C",SANC,0.485,0.737,0,273,53,18,46,81,508
"Dwyane Wade, Mia SG",SCHA,0.507,0.762,53,366,288,108,66,192,1622
"David West, Ind PF  DTD",PPL,0.483,0.836,3,470,177,55,49,134,1185
"Devin Harris, Uta PG",Sklz,0.42,0.821,46,146,356,59,11,157,856
"Dwight Howard, Orl C",GPC,0.589,0.599,0,917,92,79,172,231,1574
"Andre Iguodala, Phi SF, SG",QNGUY,0.459,0.723,61,376,436,106,40,145,975
"Al Jefferson, Uta C, PF  DTD",SANC,0.496,0.736,0,659,122,43,116,98,1268
"Kevin Martin, Hou SG",Sklz,0.431,0.883,113,178,135,54,11,124,1250
"Emeka Okafor, Nor C",QNGUY,0.56,0.565,0,543,37,37,98,92,615
